,wrr,random,koth,mimosa
1,"{'predictive': 0.8742457533249159, 'runtime': 175806.7, 'iters': 1}","{'predictive': 0.5312690144371406, 'runtime': 281689.7, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.9153088614015843, 'runtime': 200122.00000000003, 'iters': 4}"
2,"{'predictive': 0.8742457533249159, 'runtime': 100414.7, 'iters': 1}","{'predictive': 0.5546904251485772, 'runtime': 145164.3, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8844111540506507, 'runtime': 117389.0, 'iters': 4}"
3,"{'predictive': 0.8742457533249159, 'runtime': 65879.0, 'iters': 1}","{'predictive': 0.5551673962015543, 'runtime': 105343.4, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8887469052826096, 'runtime': 79482.49999999999, 'iters': 4}"
4,"{'predictive': 0.8742457533249159, 'runtime': 57841.3, 'iters': 1}","{'predictive': 0.5338337107686426, 'runtime': 84637.5, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8829723485264755, 'runtime': 74379.90000000001, 'iters': 4}"
5,"{'predictive': 0.8742457533249159, 'runtime': 39517.1, 'iters': 1}","{'predictive': 0.5496945908194979, 'runtime': 71667.5, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8696790288466356, 'runtime': 59722.9, 'iters': 4}"
6,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.539991379995323, 'runtime': 64292.4, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.9111427482653127, 'runtime': 49867.899999999994, 'iters': 4}"
7,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.5572147404155248, 'runtime': 59234.1, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8492260838403667, 'runtime': 54484.69999999998, 'iters': 4}"
8,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.5550073091341422, 'runtime': 63003.200000000004, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.7876879346930852, 'runtime': 51043.39999999999, 'iters': 4}"
9,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.5543546109135175, 'runtime': 57201.8, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8854689029324962, 'runtime': 46062.999999999985, 'iters': 4}"
10,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.548391546092278, 'runtime': 56557.200000000004, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.871684333483129, 'runtime': 50365.799999999996, 'iters': 4}"
11,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.5544597417260262, 'runtime': 46243.6, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8532179107909039, 'runtime': 48155.799999999996, 'iters': 4}"
12,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.5385917100668765, 'runtime': 60424.8, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.9018109799833112, 'runtime': 47872.59999999999, 'iters': 4}"
13,"{'predictive': 0.8742457533249159, 'runtime': 37534.299999999996, 'iters': 1}","{'predictive': 0.5323811751543557, 'runtime': 60424.8, 'iters': 1}","{'predictive': 0.8399280889468507, 'runtime': 90190.90000000001, 'iters': 1}","{'predictive': 0.8266787339914468, 'runtime': 52202.59999999999, 'iters': 4}"
